auction,name,artist,year,material,dimention,es_price,fin_price,cover
羅芙奧台北2022秋季拍賣會,熊 ; 大熊 (兩件一組),長井朋子,2018; 2020,陶瓷 拼布 26/30 ; 版畫 限量 25,10.5 (長)x 11 (寬) x 21 (高) cm ; 42 x 29.7 cm,60000-120000,120000,https://ravenel.com//resource/cover/ArtworkCover/e65b0683-ae5a-4ed9-851f-d90469e40381
羅芙奧台北2022秋季拍賣會,愛情的模樣,大槻透,2020,綜合媒材 金箔 木板,41 x 32 cm,80000-160000,96000,https://ravenel.com//resource/cover/ArtworkCover/a8ec2329-0075-4fa3-8965-20c312a63943
羅芙奧台北2022秋季拍賣會,樹蔭;花開 (兩件一組),飯田桐子,2020,壓克力 畫布,20 x 20 cm (每件),110000-220000,228000,https://ravenel.com//resource/cover/ArtworkCover/12869a8c-9c2c-45f2-a764-eab846acf80d
羅芙奧台北2022秋季拍賣會,我的貓咪,飯田桐子,2021,油彩 畫布,32 x 41  cm,110000-220000,264000,https://ravenel.com//resource/cover/ArtworkCover/a83f91e8-21de-4aae-8572-d8f788b6caa4
羅芙奧台北2022秋季拍賣會,冰淇淋派對,塗鴉先生,2018,壓克力 畫布,35.5  x 25.4 cm,130000-240000,216000,https://ravenel.com//resource/cover/ArtworkCover/ec69e715-f2c7-4679-b8b1-4c8ca7cbf1e0
羅芙奧台北2022秋季拍賣會,Hell Bang,塗鴉先生,2018,壓克力 畫布,25.4 x 20.32 cm,140000-240000,120000,https://ravenel.com//resource/cover/ArtworkCover/43be354e-25ae-479b-9a63-8c97cb1601c6
羅芙奧台北2022秋季拍賣會,開戰 (單一件),D*Face,2019,綜合媒材 畫布,66 x 66 cm,150000-260000,204000,https://ravenel.com//resource/cover/ArtworkCover/5244b45d-cf3a-4baf-b34f-a00754451f2e
羅芙奧台北2022秋季拍賣會,鸚鵡瑜珈-橋式;下犬式; 犁式; 上犬式 (四件一組),張騰遠,2021,壓克力 木板,39(長) x 64(寬) x 0.9(厚) cm (橋式); 45(長) x 65(寬) x 0.9(厚) cm (下犬式);36(長) x 60(寬) x 0.9(厚) cm (犁式);37(長) x 70(寬) x 0.9(厚) cm (上犬式),160000-240000,180000,https://ravenel.com//resource/cover/ArtworkCover/a715f881-aa54-48ff-9bd8-790aec8793f7
羅芙奧台北2022秋季拍賣會,遊行(長頸鹿),住吉明子,2021,綜合媒材 銀箔 木板,53 x 72.7 cm,130000-220000,156000,https://ravenel.com//resource/cover/ArtworkCover/67cd5dfd-fa14-432c-918a-f7115f3c6e8c
羅芙奧台北2022秋季拍賣會,莉莉小貓,上野陽介,2020,壓克力 畫布,72 x 72 cm,160000-360000,504000,https://ravenel.com//resource/cover/ArtworkCover/019e5a7b-c105-425f-995b-7d932f14e6e8
羅芙奧台北2022秋季拍賣會,樹皮 2,平子雄一,2019,油粉彩 畫布,45 x 41 cm,220000-420000,456000,https://ravenel.com//resource/cover/ArtworkCover/05a5bf25-6d9c-406e-8a15-108d2b4e27d0
羅芙奧台北2022秋季拍賣會,Bark 5,平子雄一,2019,油粉彩 畫布,51.5 x 37 cm,220000-400000,336000,https://ravenel.com//resource/cover/ArtworkCover/8db6837e-9cb0-4375-abc0-513b37df5260
羅芙奧台北2022秋季拍賣會,魅惑的獅子,大槻透,2016,綜合媒材 金箔 木板,73 x 60.7 cm,240000-340000,432000,https://ravenel.com//resource/cover/ArtworkCover/cbfe9987-aebb-4545-b915-f99a5042ca59
